EmployeeID;Attrition;retirementDate;retirementType;resignationReason
3896;Yes;17/04/2016;Resignation;Salary
3905;Yes;06/03/2016;Resignation;Others
3906;Yes;20/11/2016;Resignation;Salary
3919;Yes;31/10/2016;Resignation;Others
3920;Yes;14/08/2016;Resignation;Salary
3929;Yes;22/03/2016;Resignation;Others
3932;Yes;31/03/2016;Resignation;Salary
3938;Yes;17/11/2016;Resignation;Others
3940;Yes;18/08/2016;Resignation;Salary
3945;Yes;08/07/2016;Resignation;Stress
3954;Yes;26/03/2016;Resignation;Others
3956;Yes;06/02/2016;Resignation;Stress
3962;Yes;27/09/2016;Resignation;Salary
3964;Yes;03/12/2016;Resignation;Salary
3973;Yes;11/11/2016;Resignation;Others
3974;Yes;14/04/2016;Resignation;Others
3980;Yes;13/07/2016;Resignation;Others
3981;Yes;18/02/2016;Resignation;Others
3995;Yes;05/03/2016;Resignation;Others
3996;Yes;16/07/2016;Resignation;Others
4009;Yes;18/03/2016;Resignation;Others
4015;Yes;29/03/2016;Resignation;Others
4016;Yes;28/10/2016;Resignation;Salary
4021;Yes;27/06/2016;Resignation;Salary
4022;Yes;24/07/2016;Resignation;Others
4036;Yes;22/10/2016;Resignation;Others
4037;Yes;27/05/2016;Resignation;Salary
4048;Yes;04/05/2016;Resignation;Others
4052;Yes;21/08/2016;Resignation;Others
4058;Yes;30/09/2016;Resignation;Stress
4062;Yes;09/05/2016;Resignation;Salary
4073;Yes;15/01/2016;Resignation;Salary
4078;Yes;27/09/2016;Resignation;Salary
4079;Yes;14/07/2016;Resignation;Others
4121;Yes;27/01/2016;Resignation;Salary
4125;Yes;15/11/2016;Fired;NA
4127;Yes;24/10/2016;Resignation;Salary
4135;Yes;15/04/2016;Resignation;Stress
4144;Yes;23/02/2016;Resignation;Others
4153;Yes;10/12/2016;Resignation;Others
4155;Yes;31/01/2016;Resignation;Stress
4167;Yes;13/11/2016;Resignation;Others
4174;Yes;22/11/2016;Resignation;Others
4177;Yes;17/10/2016;Resignation;Salary
4179;Yes;04/08/2016;Resignation;Others
4186;Yes;09/02/2016;Resignation;Others
4187;Yes;08/02/2016;Resignation;Salary
4189;Yes;05/09/2016;Resignation;Salary
4195;Yes;26/06/2016;Resignation;Others
4198;Yes;10/10/2016;Fired;NA
4203;Yes;17/09/2016;Resignation;Others
4204;Yes;28/02/2016;Resignation;Salary
4222;Yes;19/11/2016;Resignation;Stress
4242;Yes;28/09/2016;Resignation;Others
4253;Yes;11/08/2016;Resignation;Stress
4255;Yes;07/08/2016;Resignation;Stress
4260;Yes;14/05/2016;Resignation;Others
4264;Yes;25/04/2016;Resignation;Others
4275;Yes;07/09/2016;Resignation;Others
4277;Yes;19/10/2016;Resignation;Others
4279;Yes;05/02/2016;Resignation;Stress
4280;Yes;22/06/2016;Resignation;Salary
4285;Yes;07/02/2016;Resignation;Stress
4289;Yes;28/06/2016;Resignation;Others
4293;Yes;01/06/2016;Resignation;Salary
4324;Yes;03/01/2016;Resignation;Others
4330;Yes;07/04/2016;Resignation;Stress
4335;Yes;19/05/2016;Resignation;Salary
4345;Yes;08/06/2016;Resignation;Stress
4357;Yes;11/05/2016;Resignation;Stress
4358;Yes;21/10/2016;Resignation;Stress
4363;Yes;02/10/2016;Fired;NA
4367;Yes;19/06/2016;Fired;NA
4369;Yes;01/06/2016;Resignation;Others
4370;Yes;06/07/2016;Resignation;Others
4382;Yes;18/04/2016;Resignation;Salary
4387;Yes;16/09/2016;Resignation;Others
4389;Yes;24/05/2016;Resignation;Others
4392;Yes;26/02/2016;Fired;NA
4403;Yes;26/01/2016;Resignation;Stress
